Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
FP MPI SP,kpa,x / 3.7688052079,%01.0f,0xd0011d7c,2,FALSE,0,1500,-1000,2000,0,TRUE,Fuel,
Fuel Flow,mg/stk,x / 47.181425486,%01.0f,0xd0011e10,2,FALSE,-100,100,-100,1000,0,TRUE,Fuel,
Fuel Flow SP,mg/stk,x / 47.181425486,%01.0f,0xd0012702,2,FALSE,-100,100,-100,1000,0,TRUE,Fuel,
Fuel Split MPI,,x / 128,%01.0f,0xd001874c,1,FALSE,-100,100,-100,100,0,TRUE,Fuel,
Fuel Trim,%,stft + ltft,%01.1f,0xffffffff,1,FALSE,-35,35,-1000,1000,0,TRUE,Fuel.Default|ROUND,
Gear,gear,x,%01.0f,0xd000c28f,1,FALSE,0,6,-1,7,0,TRUE,,gear
HPFP Eff Vol,%,x / 655.35999999,%01.0f,0xd0011e16,2,FALSE,-100,100,-1000,1000,0,TRUE,Fuel,
IAT,°C,(x - 64) / 1.33,%01.1f,0xd000e3b9,1,FALSE,-50,70,-30,50,0.9,TRUE,Misc.Default|BAR_V|3,
Ign Table,°,(x - 95) / 2.66667,%01.1f,0xd000c022,1,FALSE,-5,15,-100,100,0,TRUE,Ignition,
Ign Avg,°,(x - 95) / 2.66667,%01.1f,0xd000c040,1,FALSE,-5,15,-100,100,0,TRUE,Ignition,
Inj PW DI,ms,x / 250,%01.1f,0xd0012aae,2,FALSE,-25,25,-1000,1000,0,TRUE,Fuel,
Inj PW MPI,ms,x / 250,%01.1f,0xd0012858,2,FALSE,0,100,-1000,1000,0,TRUE,Fuel,
Intake Cam Pos,°,x / 128,%01.0f,0xd0013458,2,TRUE,-100,100,-100,100,0,TRUE,,
Intake Flow Fact,,x / 16384,%01.0f,0xd001210e,2,FALSE,0,20,-1000,1000,0,TRUE,,
Knock Avg,°,(x - 128) / 2.66,%01.2f,0xd0018b5c,1,FALSE,0,-5,-3,3,0,TRUE,Ignition.Default|BAR_V|4,
Knock Cyl 1,°,(x - 128) / 2.6667,%01.2f,0xd0018b52,1,FALSE,0,-5,-5,1000,0,TRUE,Knock,knock_a
Knock Cyl 2,°,(x - 128) / 2.6667,%01.2f,0xd0018b53,1,FALSE,0,-5,-5,1000,0,TRUE,Knock,knock_b
Knock Cyl 3,°,(x - 128) / 2.6667,%01.2f,0xd0018b54,1,FALSE,0,-5,-5,1000,0,TRUE,Knock,knock_c
Knock Cyl 4,°,(x - 128) / 2.6667,%01.2f,0xd0018b55,1,FALSE,0,-5,-5,1000,0,TRUE,Knock,knock_d
Knock RNG 1,,x /819.2000000000001,%01.2f,0xd0012f3c,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock RNG 2,,x /819.2000000000001,%01.2f,0xd0012f3e,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock RNG 3,,x /819.2000000000001,%01.2f,0xd0012f40,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock RNG 4,,x /819.2000000000001,%01.2f,0xd0012f42,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock THD 1,,x/51.2,%01.2f,0xd000c0a0,1,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock THD 2,,x/51.2,%01.2f,0xd000c0a1,1,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock THD 3,,x/51.2,%01.2f,0xd000c0a2,1,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock THD 4,,x/51.2,%01.2f,0xd000c0a3,1,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock NL 1,,x/13107.19998965744,%01.2f,0xd0012f4a,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock NL 2,,x/13107.19998965744,%01.2f,0xd0012f4c,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock NL 3,,x/13107.19998965744,%01.2f,0xd0012f4e,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Knock NL 4,,x/13107.19998965744,%01.2f,0xd0012f50,2,FALSE,0,100,-1000,1000,0,TRUE,Knock,
Lambda,l,x / 32767.999999,%01.2f,0xd001229e,2,FALSE,0.5,1.5,-0.1,5,0,TRUE,Fuel,
Lambda SP,l,x / 1024,%01.2f,0xd001308a,2,FALSE,0,2,-100,500,0,TRUE,Fuel,
LPFP Duty,%,x / 655.35999999,%01.0f,0xd0011d70,2,FALSE,0,100,-1000,100,0,TRUE,Fuel,
LTFT,%,x / 1.28 - 100.0,%01.1f,0xd000c0c6,1,FALSE,-25,25,-20,20,0.7,TRUE,Fuel,ltft
MAP,kpa,x / 1000,%01.1f,0xd0006c98,4,FALSE,0,300,-300,300,0,TRUE,Airflow,map
MAP SP,kpa,x / 1000,%01.1f,0xd0006cc0,4,FALSE,0,300,-300,300,0,TRUE,Airflow,
Misfires,,x,%01.0f,0xd0013168,2,FALSE,0,10,-1,10,0,TRUE,Misc,
Oil Temp,°C,x - 40,%01.0f,0xd000c2de,1,FALSE,-25,120,-1000,1000,0.9,TRUE,Misc,
Pedal Pos,%,x / 10.24,%01.1f,0xd0013628,2,FALSE,0,100,-1000,1000,0,TRUE,,pedal
Port Flap Pos,%,x,%01.0f,0xd0000aed,1,FALSE,0,1,-1000,1000,0,TRUE,,
PUT,kpa,x / 1000,%01.1f,0xd0006cc8,4,FALSE,0,300,-1000,300,0,TRUE,Airflow,put
PUT SP,kpa,x / 120.601766,%01.1f,0xd00121ea,2,FALSE,0,300,-1000,1000,0,TRUE,Airflow,
SOI Actual,°,x / 2.666666666667,%01.0f,0xd0012a1c,2,FALSE,0,720,-1000,1000,0,TRUE,,
SOI Limit,°,x / 2.666666666667,%01.0f,0xd0012a1a,2,FALSE,0,720,-1000,1000,0,TRUE,,
STFT,%,x / 1.28 - 100,%01.0f,0xd000c0c7,1,FALSE,-25,25,-20,20,0.8,TRUE,Fuel,stft
Torque,Nm,x / 32,%01.1f,0xd001337a,2,TRUE,-40,500,-1000,1000,0,TRUE,Power,
Torque Lim,,x,%01.0f,0xd0012206,2,FALSE,0,512,-1000,1000,0,TRUE,Power,
Torque Req,Nm,x / 32,%01.1f,0xd001463c,2,TRUE,-40,500,-1000,500,0,TRUE,Power,tq_rep
TPS,%,x / 2.142128661087,%01.2f,0xd000c128,1,FALSE,0,100,-1000,1000,0,TRUE,,
Trans Temp,°C,x - 40,%01.0f,0xd000c2b5,1,FALSE,-50,100,-1000,120,0.9,TRUE,Misc.Default|BAR_V|5,
Turbo Speed,rpm,x / 163.84,%01.1f,0xd0012178,2,FALSE,0,195,-100,190,0,TRUE,Airflow,
Valve Lift Pos,,x,%01.0f,0xd0018d2d,1,FALSE,0,1,-1000,1000,0,TRUE,,
Vehicle Speed,km/h,x / 100,%01.0f,0xd0013752,2,FALSE,0,220,-1000,220,0,TRUE,,speed
WG Flow Des,kg/hr,x / 32,%01.1f,0xd0012146,2,FALSE,0,1024,-1000,10000,0,TRUE,WG,
WG I Value,%,x / 327.68,%01.1f,0xd0015c78,2,TRUE,-100,100,-1000,1000,0,TRUE,WG,
WG P-D Value,%,x / 327.68,%01.1f,0xd0015c80,2,TRUE,-100,100,-1000,1000,0,TRUE,WG,
WG Pos Base,%,x / 655.3599999999997,%01.1f,0xd0015c7e,2,FALSE,0,100,-1000,1000,0,TRUE,WG,
WG Pos Final,%,x / 655.3599999999997,%01.1f,0xd0012116,2,FALSE,0,100,-1000,1000,0,TRUE,WG,
WG Voltage,V,x / 6553.6,%01.2f,0xd00120e6,2,TRUE,0,5,-10,10,0,TRUE,WG,
